No.,级别,词语,拼音,词性
5105,六级,严寒,yánhán,形
5106,六级,严禁,yánjìn,动
5107,六级,严厉,yánlì,形
5108,六级,延期,yánqī,动
5109,六级,炎热,yánrè,形
5110,六级,延伸,yánshēn,动
5111,六级,研讨,yántǎo,动
5112,六级,延续,yánxù,动
5113,六级,言语,yányǔ,名
5114,六级,炎症,yánzhèng,名
5115,六级,眼光,yǎnguāng,名
5116,六级,眼看,yǎnkàn,副、动
5117,六级,演奏,yǎnzòu,动
5118,六级,宴会,yànhuì,名
5119,六级,验证,yànzhèng,动
5120,六级,仰,yǎng,动
5121,六级,痒,yǎng,形
5122,六级,养老,yǎnglǎo,动
5123,六级,养老院,yǎnglǎoyuàn,名
5124,六级,氧气,yǎngqì,名
5125,六级,样,yàng,量
5126,六级,遥远,yáoyuǎn,形
5127,六级,要点,yàodiǎn,名
5128,六级,要么,yàome,连
5129,六级,要素,yàosù,名
5130,六级,野,yě,形
5131,六级,也好,yěhǎo,助
5132,六级,野生,yěshēng,形
5133,六级,野外,yěwài,名
5134,六级,业,yè,后缀
5135,六级,液体,yètǐ,名
5136,六级,依旧,yījiù,动、副
5137,六级,依赖,yīlài,动
5138,六级,一流,yīliú,形
5139,六级,衣食住行,yī-shí-zhù-xíng,
5140,六级,医药,yīyào,名
5141,六级,一一,yīyī,副
5142,六级,姨,yí,名
5143,六级,一辈子,yíbèizi,名
5144,六级,遗产,yíchǎn,名
5145,六级,遗传,yíchuán,动
5146,六级,一带,yídài,名
5147,六级,一道,yídào,副
5148,六级,一贯,yíguàn,形
5149,六级,疑惑,yíhuò,动、名
5150,六级,一律,yílǜ,副
5151,六级,移民,yímín,动、名
5152,六级,仪器,yíqì,名
5153,六级,仪式,yíshì,名
5154,六级,一向,yíxiàng,副
5155,六级,一系列,yíxìliè,形
5156,六级,一再,yízài,副
5157,六级,一阵,yízhèn,数量
5158,六级,遗址,yízhǐ,名
5159,六级,以便,yǐbiàn,连
5160,六级,以免,yǐmiǎn,连
5161,六级,以往,yǐwǎng,名
5162,六级,异常,yìcháng,形、副
5163,六级,益处,yìchù,名
5164,六级,一帆风顺,yìfān-fēngshùn,
5165,六级,一口气,yìkǒuqì,副
5166,六级,议论,yìlùn,动、名
5167,六级,一模一样,yìmú-yíyàng,
5168,六级,艺人,yìrén,名
5169,六级,一身,yìshēn,名
5170,六级,一时,yìshí,名、副
5171,六级,一同,yìtóng,副
5172,六级,易于,yìyú,动
5173,六级,抑制,yìzhì,动
5174,六级,因,yīn,介、连
5175,六级,音节,yīnjié,名
5176,六级,银,yín,名
5177,六级,银牌,yínpái,名
5178,六级,引,yǐn,动
5179,六级,隐藏,yǐncáng,动
5180,六级,引导,yǐndǎo,动
5181,六级,引发,yǐnfā,动
5182,六级,引入,yǐnrù,动
5183,六级,隐私,yǐnsī,名
5184,六级,饮用水,yǐnyòngshuǐ,名
5185,六级,印,yìn,名、动
5186,六级,婴儿,yīng’ér,名
5187,六级,英雄,yīngxióng,名
5188,六级,影子,yǐngzi,名
5189,六级,拥挤,yōngjǐ,动、形
5190,六级,涌现,yǒngxiàn,动
5191,六级,勇于,yǒngyú,动
5192,六级,用餐,yòngcān,动
5193,六级,用处,yòngchù,名
5194,六级,用功,yònggōng,动、形
5195,六级,用人,yòngrén,动
5196,六级,用心,yòngxīn,形
5197,六级,优化,yōuhuà,动
5198,六级,优先,yōuxiān,动
5199,六级,优异,yōuyì,形
5200,六级,由来,yóulái,名
5201,六级,游人,yóurén,名
5202,六级,犹如,yóurú,动
5203,六级,有机,yǒujī,形
5204,六级,有劲,yǒujìn,动、形
5205,六级,有序,yǒuxù,形
5206,六级,于,yú,介
5207,六级,余额,yú’é,名
5208,六级,与其,yǔqí,连
5209,六级,羽绒服,yǔróngfú,名
5210,六级,预定,yùdìng,动
5211,六级,预料,yùliào,动、名
5212,六级,预期,yùqī,动
5213,六级,浴室,yùshì,名
5214,六级,欲望,yùwàng,名
5215,六级,原本,yuánběn,副
5216,六级,原材料,yuáncáiliào,名
5217,六级,原理,yuánlǐ,名
5218,六级,原料,yuánliào,名
5219,六级,园林,yuánlín,名
5220,六级,圆满,yuánmǎn,形
5221,六级,原始,yuánshǐ,形
5222,六级,元素,yuánsù,名
5223,六级,原先,yuánxiān,名
5224,六级,元宵,yuánxiāo,名
5225,六级,源于,yuányú,动
5226,六级,远程,yuǎnchéng,形
5227,六级,远方,yuǎnfāng,名
5228,六级,约束,yuēshù,动
5229,六级,月光,yuèguāng,名
5230,六级,乐器,yuèqì,名
5231,六级,月球,yuèqiú,名
5232,六级,乐曲,yuèqǔ,名
5233,六级,晕,yūn,形、动
5234,六级,晕车,yùnchē,动
5235,六级,运送,yùnsòng,动
5236,六级,运行,yùnxíng,动
5237,六级,运营,yùnyíng,动
5238,六级,杂,zá,形
5239,六级,灾,zāi,名
5240,六级,灾害,zāihài,名
5241,六级,灾难,zāinàn,名
5242,六级,灾区,zāiqū,名
5243,六级,再三,zàisān,副
5244,六级,再生,zàishēng,动
5245,六级,在意,zàiyì,动
5246,六级,赞赏,zànshǎng,动
5247,六级,赞同,zàntóng,动
5248,六级,遭到,zāodào,动
5249,六级,遭受,zāoshòu,动
5250,六级,遭遇,zāoyù,动、名
5251,六级,噪声,zàoshēng,名
5252,六级,造型,zàoxíng,动、名
5253,六级（七-九级）,则1,zé,连、（助）
5254,六级,扎,zhā,动
5255,六级,炸,zhà,动
5256,六级,粘,zhān,动
5257,六级,粘贴,zhāntiē,动
5258,六级,崭新,zhǎnxīn,形
5259,六级,占比,zhànbǐ,名
5260,六级,战斗,zhàndòu,名、动
5261,六级,占据,zhànjù,动
5262,六级,战胜,zhànshèng,动
5263,六级,占有,zhànyǒu,动
5264,六级,战争,zhànzhēng,名
5265,六级,章,zhāng,量
5266,六级,长辈,zhǎngbèi,名
5267,六级,障碍,zhàng’ài,名、动
5268,六级,账单,zhàngdān,名
5269,六级,招,zhāo,动
5270,六级,招待,zhāodài,动
5271,六级,招生,zhāoshēng,动
5272,六级,招手,zhāoshǒu,动
5273,六级,招收,zhāoshōu,动
5274,六级,照明,zhàomíng,动
5275,六级,折,zhé,动
5276,六级,针,zhēn,名
5277,六级,真相,zhēnxiàng,名
5278,六级,珍珠,zhēnzhū,名
5279,六级,枕头,zhěntou,名
5280,六级,镇,zhèn,动、名
5281,六级,阵雨,zhènyǔ,名
5282,六级,睁,zhēng,动
5283,六级,争吵,zhēngchǎo,动
5284,六级,争夺,zhēngduó,动
5285,六级,争论,zhēnglùn,动
5286,六级,征求,zhēngqiú,动
5287,六级,争议,zhēngyì,动
5288,六级,政策,zhèngcè,名
5289,六级,正规,zhèngguī,形
5290,六级,正面,zhèngmiàn,名、形
5291,六级,证实,zhèngshí,动
5292,六级,正义,zhèngyì,名、形
5293,六级,症状,zhèngzhuàng,名
5294,六级,支2,zhī,动
5295,六级,枝,zhī,名、量
5296,六级,支撑,zhīchēng,动
5297,六级,支出,zhīchū,动、名
5298,六级,脂肪,zhīfáng,名
5299,六级,之所以,zhīsuǒyǐ,连
5300,六级,值班,zhíbān,动
5301,六级,职位,zhíwèi,名
5302,六级,职务,zhíwù,名
5303,六级,职员,zhíyuán,名
5304,六级,职责,zhízé,名
5305,六级,侄子,zhízi,名
5306,六级,只得,zhǐdé,副
5307,六级,指定,zhǐdìng,动
5308,六级,只顾,zhǐgù,副
5309,六级,指挥,zhǐhuī,动、名
5310,六级,指示,zhǐshì,动、名
5311,六级,指责,zhǐzé,动
5312,六级,制,zhì,动
5313,六级,至关重要,zhìguān-zhòngyào,
5314,六级,智力,zhìlì,名
5315,六级,治理,zhìlǐ,动
5316,六级,制品,zhìpǐn,名
5317,六级,秩序,zhìxù,名
5318,六级,质疑,zhìyí,动
5319,六级,至于,zhìyú,动、介
5320,六级,中等,zhōngděng,形
5321,六级,终点,zhōngdiǎn,名
5322,六级,中断,zhōngduàn,动
5323,六级,终身,zhōngshēn,名
5324,六级,钟头,zhōngtóu,名
5325,六级,中旬,zhōngxún,名
5326,六级,中央,zhōngyāng,名
5327,六级,肿,zhǒng,动
5328,六级,中,zhòng,动
5329,六级,种地,zhòngdì,动
5330,六级,中毒,zhòngdú,动
5331,六级,中奖,zhòngjiǎng,动
5332,六级,众人,zhòngrén,名
5333,六级,中暑,zhòngshǔ,名、动
5334,六级,众所周知,zhòngsuǒzhōuzhī,
5335,六级,重心,zhòngxīn,名
5336,六级,州,zhōu,名
5337,六级,粥,zhōu,名
5338,六级,周边,zhōubiān,名
5339,六级,周到,zhōudào,形
5340,六级,周期,zhōuqī,名
5341,六级,株,zhū,量
5342,六级,珠宝,zhūbǎo,名
5343,六级,诸多,zhūduō,形
5344,六级,主办,zhǔbàn,动
5345,六级,主播,zhǔbō,动、名
5346,六级,主导,zhǔdǎo,动、名
5347,六级,主管,zhǔguǎn,动、名
5348,六级,主角,zhǔjué,名
5349,六级,主流,zhǔliú,名
5350,六级,主演,zhǔyǎn,动、名
5351,六级,主张,zhǔzhāng,动、名
5352,六级,祝福,zhùfú,动
5353,六级,助理,zhùlǐ,形、名
5354,六级,助手,zhùshǒu,名
5355,六级,祝愿,zhùyuàn,动
5356,六级,住宅,zhùzhái,名
5357,六级,著作,zhùzuò,名
5358,六级,砖,zhuān,名
5359,六级,专科,zhuānkē,名
5360,六级,专利,zhuānlì,名
5361,六级,专题,zhuāntí,名
5362,六级,专用,zhuānyòng,动
5363,六级,专注,zhuānzhù,形
5364,六级,转换,zhuǎnhuàn,动
5365,六级,转交,zhuǎnjiāo,动
5366,六级,转让,zhuǎnràng,动
5367,六级,转身,zhuǎnshēn,动
5368,六级,转移,zhuǎnyí,动
5369,六级,转,zhuàn,动
5370,六级,转动,zhuàndòng,动
5371,六级,装备,zhuāngbèi,动、名
5372,六级,庄稼,zhuāngjia,名
5373,六级,追究,zhuījiū,动
5374,六级,捉,zhuō,动
5375,六级,资本,zīběn,名
5376,六级,资产,zīchǎn,名
5377,六级,自豪,zìháo,形
5378,六级,自来水,zìláishuǐ,名
5379,六级,自律,zìlǜ,动
5380,六级,字幕,zìmù,名
5381,六级,自杀,zìshā,动
5382,六级,自我,zìwǒ,代
5383,六级,自言自语,zìyán-zìyǔ,
5384,六级,自愿,zìyuàn,动
5385,六级,自助,zìzhù,动
5386,六级,棕色,zōngsè,名
5387,六级,总裁,zǒngcái,名
5388,六级,总计,zǒngjì,动
5389,六级,总理,zǒnglǐ,名
5390,六级,总算,zǒngsuàn,副
5391,六级,粽子,zòngzi,名
5392,六级,走廊,zǒuláng,名
5393,六级,足,zú,形、副
5394,六级,足以,zúyǐ,动
5395,六级,阻碍,zǔ’ài,动、名
5396,六级,阻挡,zǔdǎng,动
5397,六级,祖国,zǔguó,名
5398,六级,祖先,zǔxiān,名
5399,六级,钻,zuān,动
5400,六级,罪,zuì,名
5401,七-九级,挨,āi,动、介
5402,七-九级,挨家挨户,āijiā-āihù,
5403,七-九级,哀求,āiqiú,动
5404,七-九级,挨,ái,动
5405,七-九级,癌,ái,名
5406,七-九级,癌症,áizhèng,名
5407,七-九级,爱不释手,àibúshìshǒu,
5408,七-九级,爱戴,àidài,动
5409,七-九级,暧昧,àimèi,形
5410,七-九级,爱慕,àimù,动
5411,七-九级,碍事,àishì,动、形
5412,七-九级,爱惜,àixī,动
5413,七-九级,艾滋病,àizībìng,名
5414,七-九级,安定,āndìng,形、动
5415,七-九级,安抚,ānfǔ,动
5416,七-九级,安眠药,ānmiányào,名
5417,七-九级,安宁,ānníng,形
5418,七-九级,安稳,ānwěn,形
5419,七-九级,安详,ānxiáng,形
5420,七-九级,安心,ānxīn,形
5421,七-九级,安逸,ānyì,形
5422,七-九级,安置,ānzhì,动
5423,七-九级,暗地里,àndìlǐ,名
5424,七-九级,案件,ànjiàn,名
5425,七-九级,按理,ànlǐ,副
5426,七-九级,按钮,ànniǔ,名
5427,七-九级,按说,ànshuō,副
5428,七-九级,暗中,ànzhōng,名
5429,七-九级,凹,āo,形
5430,七-九级,熬,áo,动
5431,七-九级,傲,ào,形
5432,七-九级,傲慢,àomàn,形
5433,七-九级,奥秘,àomì,名
5434,七-九级,扒,bā,动
5435,七-九级,疤,bā,名
5436,七-九级,巴不得,bābudé,动
5437,七-九级,八成,bāchéng,数量、副
5438,七-九级,八卦,bāguà,名、形
5439,七-九级,巴结,bājie,动
5440,七-九级,芭蕾,bālěi,名
5441,七-九级,巴掌,bāzhang,名
5442,七-九级,拔,bá,动
5443,七-九级,把柄,bǎbǐng,名
5444,七-九级,把关,bǎguān,动
5445,七-九级,把手,bǎshou,名
5446,七-九级,靶子,bǎzi,名
5447,七-九级,坝,bà,名
5448,七-九级,霸道,bàdào,形
5449,七-九级,罢工,bàgōng,动
5450,七-九级,罢了,bàle,助
5451,七-九级,罢免,bàmiǎn,动
5452,七-九级,罢休,bàxiū,动
5453,七-九级,霸占,bàzhàn,动
5454,七-九级,掰,bāi,动
5455,七-九级,百般,bǎibān,副、数量
5456,七-九级,摆动,bǎidòng,动
5457,七-九级,百分比,bǎifēnbǐ,名
5458,七-九级,百合,bǎihé,名
5459,七-九级,百科全书,bǎikē quánshū,
5460,七-九级,摆平,bǎipíng,动
5461,七-九级,摆设,bǎishe,名
5462,七-九级,柏树,bǎishù,名
5463,七-九级,败坏,bàihuài,动、形
5464,七-九级,拜会,bàihuì,动
5465,七-九级,拜见,bàijiàn,动
5466,七-九级,拜托,bàituō,动
5467,七-九级,扳,bān,动
5468,七-九级,颁布,bānbù,动
5469,七-九级,斑点,bāndiǎn,名
5470,七-九级,颁发,bānfā,动
5471,七-九级,颁奖,bānjiǎng,动
5472,七-九级,斑马线,bānmǎxiàn,名
5473,七-九级,搬迁,bānqiān,动
5474,七-九级,板块,bǎnkuài,名
5475,七-九级,版权,bǎnquán,名
5476,七-九级,扮,bàn,动
5477,七-九级,伴,bàn,名、动
5478,七-九级,拌,bàn,动
5479,七-九级,绊,bàn,动
5480,七-九级,半边天,bànbiāntiān,名
5481,七-九级,半岛,bàndǎo,名
5482,七-九级,半导体,bàndǎotǐ,名
5483,七-九级,绊脚石,bànjiǎoshí,名
5484,七-九级,半径,bànjìng,名
5485,七-九级,伴侣,bànlǚ,名
5486,七-九级,办事处,bànshìchù,名
5487,七-九级,半数,bànshù,名
5488,七-九级,半途而废,bàntú’érfèi,
5489,七-九级,半信半疑,bànxìn-bànyí,
5490,七-九级,办学,bànxué,动
5491,七-九级,伴奏,bànzòu,动
5492,七-九级,帮手,bāngshou,名
5493,七-九级,绑,bǎng,动
5494,七-九级,绑架,bǎngjià,动
5495,七-九级,磅,bàng,量、名
5496,七-九级,煲,bāo,名、动
5497,七-九级,剥,bāo,动
5498,七-九级,包庇,bāobì,动
5499,七-九级,褒贬,bāobiǎn,动
5500,七-九级,包袱,bāofu,名
5501,七-九级,包罗万象,bāoluó-wànxiàng,
5502,七-九级,包容,bāoróng,动
5503,七-九级,包围,bāowéi,动
5504,七-九级,包扎,bāozā,动
5505,七-九级,饱和,bǎohé,动
5506,七-九级,饱经沧桑,bǎojīng-cāngsāng,
5507,七-九级,宝库,bǎokù,名
5508,七-九级,堡垒,bǎolěi,名
5509,七-九级,饱满,bǎomǎn,形
5510,七-九级,保密,bǎomì,动
5511,七-九级,保姆,bǎomǔ,名
5512,七-九级,宝石,bǎoshí,名
5513,七-九级,保守,bǎoshǒu,动、形
5514,七-九级,保卫,bǎowèi,动
5515,七-九级,保鲜,bǎoxiān,动
5516,七-九级,保养,bǎoyǎng,动
5517,七-九级,保佑,bǎoyòu,动
5518,七-九级,宝藏,bǎozàng,名
5519,七-九级,保重,bǎozhòng,动
5520,七-九级,报,bào,动
5521,七-九级,豹,bào,名
5522,七-九级,报案,bào’àn,动
5523,七-九级,报酬,bàochou,名
5524,七-九级,报仇,bàochóu,动
5525,七-九级,报答,bàodá,动
5526,七-九级,报废,bàofèi,动
5527,七-九级,暴风骤雨,bàofēng-zhòuyǔ,
5528,七-九级,报复,bàofù,动
5529,七-九级,抱负,bàofù,名
5530,七-九级,曝光,bàoguāng,动
5531,七-九级,暴利,bàolì,名
5532,七-九级,爆满,bàomǎn,动
5533,七-九级,报销,bàoxiāo,动
5534,七-九级,暴躁,bàozào,形
5535,七-九级,爆竹,bàozhú,名
5536,七-九级,碑,bēi,名
5537,七-九级,悲哀,bēi’āi,形
5538,七-九级,卑鄙,bēibǐ,形
5539,七-九级,悲惨,bēicǎn,形
5540,七-九级,背负,bēifù,动
5541,七-九级,悲欢离合,bēihuān-líhé,
5542,七-九级,悲痛,bēitòng,形
5543,七-九级,卑微,bēiwēi,形
5544,七-九级,备,bèi,动、副
5545,七-九级,备份,bèifèn,名、动
5546,七-九级,被告,bèigào,名
5547,七-九级,贝壳,bèiké,名
5548,七-九级,备课,bèikè,动
5549,七-九级,背面,bèimiàn,名
5550,七-九级,背叛,bèipàn,动
5551,七-九级,背诵,bèisòng,动
5552,七-九级,备忘录,bèiwànglù,名
5553,七-九级,背影,bèiyǐng,名
5554,七-九级,备战,bèizhàn,动
5555,七-九级,奔波,bēnbō,动
5556,七-九级,奔驰,bēnchí,动
5557,七-九级,奔赴,bēnfù,动
5558,七-九级,本分,běnfèn,名、形
5559,七-九级,本钱,běnqián,名
5560,七-九级,本色,běnsè,名
5561,七-九级,本事,běnshi,名
5562,七-九级,本性,běnxìng,名
5563,七-九级,本意,běnyì,名
5564,七-九级,本着,běnzhe,介
5565,七-九级,奔,bèn,动
5566,七-九级,笨蛋,bèndàn,名
5567,七-九级,笨重,bènzhòng,形
5568,七-九级,笨拙,bènzhuō,形
5569,七-九级,绷,bēng,动
5570,七-九级,绷带,bēngdài,名
5571,七-九级,崩溃,bēngkuì,动
5572,七-九级,蹦,bèng,动
5573,七-九级,迸发,bèngfā,动
5574,七-九级,逼近,bījìn,动
5575,七-九级,逼迫,bīpò,动
5576,七-九级,逼真,bīzhēn,形
5577,七-九级,鼻涕,bítì,名
5578,七-九级,比比皆是,bǐbǐ-jiēshì,
5579,七-九级,笔墨,bǐmò,名
5580,七-九级,比试,bǐshi,动
5581,七-九级,鄙视,bǐshì,动
5582,七-九级,弊病,bìbìng,名
5583,七-九级,必不可少,bìbùkěshǎo,
5584,七-九级,必定,bìdìng,副
5585,七-九级,弊端,bìduān,名
5586,七-九级,壁画,bìhuà,名
5587,七-九级,必将,bìjiāng,副
5588,七-九级,壁垒,bìlěi,名
5589,七-九级,碧绿,bìlǜ,形
5590,七-九级,避难,bìnàn,动
5591,七-九级,避让,bìràng,动
5592,七-九级,毕生,bìshēng,名
5593,七-九级,避暑,bìshǔ,动
5594,七-九级,鞭策,biāncè,动
5595,七-九级,编程,biānchéng,动
5596,七-九级,编号,biānhào,动、名
5597,七-九级,边疆,biānjiāng,名
5598,七-九级,边界,biānjiè,名
5599,七-九级,边境,biānjìng,名
5600,七-九级,编剧,biānjù,动、名
5601,七-九级,编排,biānpái,动
5602,七-九级,鞭炮,biānpào,名
5603,七-九级,边缘,biānyuán,名、形
5604,七-九级,边远,biānyuǎn,形
5605,七-九级,编造,biānzào,动
5606,七-九级,编制,biānzhì,动
5607,七-九级,编织,biānzhī,动
5608,七-九级,扁,biǎn,形
5609,七-九级,贬低,biǎndī,动
5610,七-九级,贬值,biǎnzhí,动
5611,七-九级,辩,biàn,动
5612,七-九级,辨别,biànbié,动
5613,七-九级,遍布,biànbù,动
5614,七-九级,便饭,biànfàn,名
5615,七-九级,变革,biàngé,动
5616,七-九级,变更,biàngēng,动
5617,七-九级,变故,biàngù,名
5618,七-九级,辩护,biànhù,动
5619,七-九级,变换,biànhuàn,动
5620,七-九级,变幻莫测,biànhuàn-mòcè,
5621,七-九级,辩解,biànjiě,动
5622,七-九级,辩论,biànlùn,动
5623,七-九级,变迁,biànqiān,动
5624,七-九级,辨认,biànrèn,动
5625,七-九级,变通,biàntōng,动
5626,七-九级,便携式,biànxiéshì,形
5627,七-九级,变形,biànxíng,动
5628,七-九级,变异,biànyì,动
5629,七-九级,辩证,biànzhèng,动、形
5630,七-九级,辫子,biànzi,名
5631,七-九级,标,biāo,动
5632,七-九级,标榜,biāobǎng,动
5633,七-九级,标本,biāoběn,名
5634,七-九级,标点,biāodiǎn,名
5635,七-九级,标记,biāojì,动、名
5636,七-九级,标签,biāoqiān,名
5637,七-九级,飙升,biāoshēng,动
5638,七-九级,标识,biāoshí,动、名
5639,七-九级,标示,biāoshì,动
5640,七-九级,标语,biāoyǔ,名
5641,七-九级,标致,biāozhì,形
5642,七-九级,表白,biǎobái,动
5643,七-九级,表决,biǎojué,动
5644,七-九级,表述,biǎoshù,动
5645,七-九级,表率,biǎoshuài,名
5646,七-九级,表态,biǎotài,动
5647,七-九级,表彰,biǎozhāng,动
5648,七-九级,憋,biē,动、形
5649,七-九级,别具匠心,biéjù-jiàngxīn,
5650,七-九级,别看,biékàn,连
5651,七-九级,别墅,biéshù,名
5652,七-九级,别说,biéshuō,连
5653,七-九级,别致,biézhì,形
5654,七-九级,别扭,bièniu,形
5655,七-九级,彬彬有礼,bīnbīn-yǒulǐ,
5656,七-九级,缤纷,bīnfēn,形
5657,七-九级,濒临,bīnlín,动
5658,七-九级,濒危,bīnwēi,动
5659,七-九级,冰雹,bīngbáo,名
5660,七-九级,冰棍儿,bīnggùnr,名
5661,七-九级,冰山一角,bīngshān-yìjiǎo,
5662,七-九级,冰天雪地,bīngtiān-xuědì,
5663,七-九级,丙,bǐng,名
5664,七-九级,秉承,bǐngchéng,动
5665,七-九级,秉持,bǐngchí,动
5666,七-九级,并发症,bìngfāzhèng,名
5667,七-九级,并非,bìngfēi,动
5668,七-九级,并购,bìnggòu,动
5669,七-九级,并肩,bìngjiān,动、副
5670,七-九级,病历,bìnglì,名
5671,七-九级,并列,bìngliè,动
5672,七-九级,并行,bìngxíng,动
5673,七-九级,病症,bìngzhèng,名
5674,七-九级,拨,bō,动、量
5675,七-九级,波动,bōdòng,动
5676,七-九级,剥夺,bōduó,动
5677,七-九级,波及,bōjí,动
5678,七-九级,拨款,bōkuǎn,动、名
5679,七-九级,波澜,bōlán,名
5680,七-九级,波浪,bōlàng,名
5681,七-九级,波涛,bōtāo,名
5682,七-九级,剥削,bōxuē,动
5683,七-九级,波折,bōzhé,名
5684,七-九级,伯伯,bóbo,名
5685,七-九级,博大精深,bódà-jīngshēn,
5686,七-九级,搏斗,bódòu,动
5687,七-九级,伯父,bófù,名
5688,七-九级,驳回,bóhuí,动
5689,七-九级,伯母,bómǔ,名
5690,七-九级,博学,bóxué,形
5691,七-九级,博弈,bóyì,动
5692,七-九级,不算,bú suàn,
5693,七-九级,不当,búdàng,形
5694,七-九级,不定,búdìng,形、副
5695,七-九级,不动产,búdòngchǎn,名
5696,七-九级,不见得,bújiàndé,副
5697,七-九级,不愧,búkuì,副
5698,七-九级,不力,búlì,形
5699,七-九级,不妙,búmiào,形
5700,七-九级,不慎,búshèn,形
5701,七-九级,不下,búxià,动
5702,七-九级,不像话,búxiànghuà,形
5703,七-九级,不肖,búxiào,形
5704,七-九级,不屑,búxiè,动
5705,七-九级,不懈,búxiè,形
5706,七-九级,不厌其烦,búyàn-qífán,
5707,七-九级,不亚于,búyàyú,动
5708,七-九级,不翼而飞,búyì’érfēi,
5709,七-九级,不亦乐乎,búyìlèhū,
5710,七-九级,不正之风,búzhèngzhīfēng,
5711,七-九级,捕获,bǔhuò,动
5712,七-九级,补给,bǔjǐ,动、名
5713,七-九级,补救,bǔjiù,动
5714,七-九级,哺乳,bǔrǔ,动
5715,七-九级,捕食,bǔshí,动
5716,七-九级,哺育,bǔyù,动
5717,七-九级,补助,bǔzhù,动、名
5718,七-九级,捕捉,bǔzhuō,动
5719,七-九级,不经意,bù jīngyì,
5720,七-九级,不予,bù yǔ,
5721,七-九级,不准,bù zhǔn,
5722,七-九级,不耻下问,bùchǐ-xiàwèn,
5723,七-九级,不辞而别,bùcí’érbié,
5724,七-九级,不得而知,bùdé’érzhī,
5725,七-九级,不得已,bùdéyǐ,形
5726,七-九级,不乏,bùfá,动
5727,七-九级,步伐,bùfá,名
5728,七-九级,不法,bùfǎ,形
5729,七-九级,不妨,bùfáng,副
5730,七-九级,不服,bùfú,动
5731,七-九级,不敢当,bùgǎndāng,动
5732,七-九级,不及,bùjí,动
5733,七-九级,部件,bùjiàn,名
5734,七-九级,不假思索,bùjiǎ-sīsuǒ,
5735,七-九级,不解,bùjiě,动
5736,七-九级,不景气,bùjǐngqì,形
5737,七-九级,布局,bùjú,动、名
5738,七-九级,不堪,bùkān,动、形
5739,七-九级,不可或缺,bùkě-huòquē,
5740,七-九级,不可思议,bùkě-sīyì,
5741,七-九级,不了了之,bùliǎo-liǎozhī,
5742,七-九级,不免,bùmiǎn,副
5743,七-九级,不平,bùpíng,形
5744,七-九级,不容,bùróng,动
5745,七-九级,步入,bùrù,动
5746,七-九级,部首,bùshǒu,名
5747,七-九级,部署,bùshǔ,动
5748,七-九级,不惜,bùxī,动
5749,七-九级,不相上下,bùxiāng-shàngxià,
5750,七-九级,不言而喻,bùyán’éryù,
5751,七-九级,不以为然,bùyǐwéirán,
5752,七-九级,不由得,bùyóude,动、副
5753,七-九级,不由自主,bùyóuzìzhǔ,
5754,七-九级,不约而同,bùyuē’értóng,
5755,七-九级,不折不扣,bùzhé-búkòu,
5756,七-九级,不知不觉,bùzhī-bùjué,
5757,七-九级,不知所措,bùzhī-suǒcuò,
5758,七-九级,猜想,cāixiǎng,动
5759,七-九级,裁,cái,动
5760,七-九级,裁定,cáidìng,动
5761,七-九级,裁缝,cáifeng,名
5762,七-九级,才干,cáigàn,名
5763,七-九级,财经,cáijīng,名
5764,七-九级,裁决,cáijué,动
5765,七-九级,财力,cáilì,名
5766,七-九级,裁员,cáiyuán,动
5767,七-九级,财政,cáizhèng,名
5768,七-九级,采,cǎi,动
5769,七-九级,采矿,cǎikuàng,动
5770,七-九级,采摘,cǎizhāi,动
5771,七-九级,菜肴,càiyáo,名
5772,七-九级,参见,cānjiàn,动
5773,七-九级,参谋,cānmóu,名、动
5774,七-九级,参照,cānzhào,动
5775,七-九级,残,cán,动
5776,七-九级,残酷,cánkù,形
5777,七-九级,惭愧,cánkuì,形
5778,七-九级,残留,cánliú,动
5779,七-九级,残缺,cánquē,动
5780,七-九级,残忍,cánrěn,形
5781,七-九级,惨,cǎn,形
5782,七-九级,惨白,cǎnbái,形
5783,七-九级,惨痛,cǎntòng,形
5784,七-九级,惨重,cǎnzhòng,形
5785,七-九级,灿烂,cànlàn,形
5786,七-九级,舱,cāng,名
5787,七-九级,苍白,cāngbái,形
5788,七-九级,仓促,cāngcù,形
5789,七-九级,沧桑,cāngsāng,名
5790,七-九级,苍蝇,cāngying,名
5791,七-九级,藏匿,cángnì,动
5792,七-九级,藏品,cángpǐn,名
5793,七-九级,藏身,cángshēn,动
5794,七-九级,操控,cāokòng,动
5795,七-九级,操劳,cāoláo,动
5796,七-九级,操练,cāoliàn,动
5797,七-九级,操心,cāoxīn,动
5798,七-九级,操纵,cāozòng,动
5799,七-九级,嘈杂,cáozá,形
5800,七-九级,草案,cǎo’àn,名
5801,七-九级,草丛,cǎocóng,名
5802,七-九级,草坪,cǎopíng,名
5803,七-九级,草率,cǎoshuài,形
5804,七-九级,草药,cǎoyào,名
5805,七-九级,测定,cèdìng,动
5806,七-九级,侧面,cèmiàn,名
5807,七-九级,测算,cèsuàn,动
5808,七-九级,测验,cèyàn,动、名
5809,七-九级,侧重,cèzhòng,动
5810,七-九级,层出不穷,céngchū-bùqióng,
5811,七-九级,蹭,cèng,动
5812,七-九级,差错,chācuò,名
5813,七-九级,差额,chā’é,名、形
5814,七-九级,插曲,chāqǔ,名
5815,七-九级,插手,chāshǒu,动
5816,七-九级,插图,chātú,名
